stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
2850,,ENG ANTONIO CARLOS TIBIRICA 128,,-30.047597,-51.176846
2879,,ENG ANTONIO CARLOS TIBIRICA 470,,-30.04753,-51.173663
2852,,ENG ANTONIO CARLOS TIBIRICA 280,,-30.047574,-51.175579
1855,,VICENTE DA FONTOURA 1046,,-30.049543,-51.203505
2880,,ENG ANTONIO CARLOS TIBIRICA DF 520,,-30.047587,-51.172693
2205,,MOSTARDEIRO DF 86,,-30.028849,-51.206774
4682,,TEN ALBERTO MENDES JUNIOR 170,,-30.02282,-51.112108
2211,,MOSTARDEIRO 333,,-30.02867,-51.203681
2183,,INDEPENDENCIA 925,,-30.029389,-51.211725
2173,,INDEPENDENCIA 794,,-30.029305,-51.213317
2170,,INDEPENDENCIA DF 654,,-30.029333,-51.21477
3567,,FARRAPOS DF 3045,,-30.005827,-51.200872
1531,,MAUA DF,,-30.029037,-51.234522
1528,,MAUA DF,,-30.029768,-51.236018
6241,,PONTA GROSSA DF 480,,-30.187842,-51.193084
93,,PONTA GROSSA 337,,-30.187064,-51.194039
97,,PONTA GROSSA 510,,-30.187943,-51.19285
3903,,FORTE 171,,-30.012116,-51.153053
3904,,FORTE 164,,-30.011851,-51.153003
5595,,BENTO GONCALVES 1015,,-30.05334,-51.203132
3733,,PADRE LEOPOLDO BRENTANO DF 647,,-29.976466,-51.191754
2088,,SANTANA 701,,-30.044239,-51.210589
2466,,PROF OSCAR PEREIRA 5420,,-30.08968,-51.182917
1315,,PROF OSCAR PEREIRA 5119,,-30.088487,-51.185114
1305,,PROF OSCAR PEREIRA 4821,,-30.086906,-51.187839
1294,,PROF OSCAR PEREIRA 4059,,-30.084042,-51.19502
1872,,PROF OSCAR PEREIRA 3727,,-30.081739,-51.197341
1874,,PROF OSCAR PEREIRA 3590,,-30.080391,-51.19761
1873,,PROF OSCAR PEREIRA 3585,,-30.080388,-51.197693
1870,,PROF OSCAR PEREIRA 3290,,-30.078305,-51.19912
1879,,PROF OSCAR PEREIRA 3187,,-30.077573,-51.199884
1880,,PROF OSCAR PEREIRA 3170,,-30.077529,-51.199818
1766,,PROF OSCAR PEREIRA DF 2427,,-30.071556,-51.203819
1765,,PROF OSCAR PEREIRA 2473,,-30.072052,-51.203689
1759,,PROF OSCAR PEREIRA 1932,,-30.067344,-51.205529
1761,,PROF OSCAR PEREIRA 1824,,-30.066228,-51.205756
1760,,PROF OSCAR PEREIRA 1771,,-30.066207,-51.205841
1812,,PROF OSCAR PEREIRA 1229,,-30.061113,-51.206857
1811,,PROF OSCAR PEREIRA 1040,,-30.059705,-51.207628
454,,ECON NILO WULFF DF 357,,-30.151848,-51.142302
94,,PONTA GROSSA 263,,-30.187091,-51.193861
4569,,GUAIBA-LOMBA DO PINHEIRO 493,,-30.114101,-51.112621
4570,,GUAIBA-LOMBA DO PINHEIRO DF 505,,-30.11411,-51.112532
389,,EDGAR PIRES DE CASTRO 5580,,-30.175739,-51.145598
6094,,EDGAR PIRES DE CASTRO 4880,,-30.170498,-51.15073
2891,,SAO MATEUS 636,,-30.046926,-51.171013
3686,,CEARA 463,,-29.999892,-51.191033
3641,,EDU CHAVES 468,,-30.000804,-51.1897
2631,,SILVADO DF 206,,-30.066846,-51.183398
3637,,SOUZA REIS 443,,-30.002824,-51.190335
5936,,PROF FREDERICO GUILHERME GAELZER DF 168,,-30.048044,-51.169748
5937,,PROF FREDERICO GUILHERME GAELZER 168,,-30.047929,-51.169704
555,,PEREIRA PASSOS 1047,,-30.103163,-51.254362
556,,PEREIRA PASSOS DF 1025,,-30.10311,-51.254289
557,,PEREIRA PASSOS 742,,-30.102258,-51.256834
512,,PEREIRA PASSOS 331,,-30.100512,-51.262388
518,,PEREIRA PASSOS 382,,-30.100844,-51.261132
519,,PEREIRA PASSOS DF 520,,-30.101586,-51.259096
510,,PEREIRA PASSOS 104,,-30.100042,-51.263577
509,,PEREIRA PASSOS 27,,-30.099928,-51.264379
2448,,PROF OSCAR PEREIRA 7401,,-30.102333,-51.171851
2459,,PROF OSCAR PEREIRA DF 6336,,-30.096339,-51.177824
2457,,PROF OSCAR PEREIRA AL 5690,,-30.091354,-51.180919
4491,,JOAO DE OLIVEIRA REMIAO 6252,,-30.123846,-51.107822
2436,,PROF OSCAR PEREIRA 8754,,-30.112606,-51.176685
2445,,PROF OSCAR PEREIRA 7850,,-30.103683,-51.171879
2464,,PROF OSCAR PEREIRA 6720,,-30.097672,-51.175959
1298,,PROF OSCAR PEREIRA DF 4226,,-30.084401,-51.193091
2447,,PROF OSCAR PEREIRA 6906,,-30.098377,-51.174249
2121,,SAO LUIZ 494,,-30.047353,-51.204561
2086,,SANTANA 1045,,-30.046934,-51.208675
2089,,SANTANA 726,,-30.044116,-51.210579
2090,,SANTANA DF 440,,-30.042082,-51.212111
2198,,RAMIRO BARCELOS 430,,-30.022942,-51.211376
2928,,PLINIO BRASIL MILANO 805,,-30.021461,-51.182988
1472,,GETULIO VARGAS 1415,,-30.057399,-51.222829
2613,,DOLORES DURAN 1820,,-30.088771,-51.121499
5528,,LOUREIRO DA SILVA DF 515,,-30.037001,-51.234758
6240,,GUILHERME ALVES DF1409,,-30.060005,-51.190899
5164,,DR ANTONIO MAZZAFERRO NETO DF 15,,-30.163819,-51.1737
4575,,JOAO DE OLIVEIRA REMIAO AL 5185,,-30.110595,-51.11044
4487,,GUAIBA-LOMBA DO PINHEIRO 572,,-30.114715,-51.112961
4486,,GUAIBA-LOMBA DO PINHEIRO DF 614,,-30.115279,-51.113084
4298,,OTAVIANO JOSE PINTO AL2055,,-30.236721,-51.094397
962,,JOAO SALOMONI DF 824,,-30.113656,-51.217861
2218,,CRISTOVAO COLOMBO 1271,,-30.020595,-51.207245
2220,,CRISTOVAO COLOMBO 1512,,-30.019018,-51.205989
3455,,TEN ARY TARRAGO 2030,,-30.024083,-51.131481
3298,,TEN ARY TARRAGO 735,,-30.035573,-51.135225
4762,,ADELINO FERREIRA JARDIM 536,,-30.020452,-51.101411
5671,,ADELINO FERREIRA JARDIM 526,,-30.02046,-51.101517
1942,,GEN JONATHAS BORGES FORTES 972,,-30.075185,-51.187004
1943,,GEN JONATHAS BORGES FORTES 930,,-30.075085,-51.186925
1939,,GEN JONATHAS BORGES FORTES DF 809,,-30.075365,-51.188469
1940,,GEN JONATHAS BORGES FORTES 809,,-30.075416,-51.18835
1935,,GEN JONATHAS BORGES FORTES 601,,-30.075842,-51.190552
1934,,GEN JONATHAS BORGES FORTES DF 577,,-30.075798,-51.190718
2378,,COSTA GAMA DF 1530,,-30.133902,-51.17565
1293,,ALPES 546/584,,-30.088431,-51.195707
1291,,ALPES 732/888,,-30.089711,-51.19528
1288,,PROF OSCAR PEREIRA 3901,,-30.082971,-51.196454
1869,,PROF OSCAR PEREIRA 3263,,-30.078238,-51.1993
1902,,GEN JONATHAS BORGES FORTES 339,,-30.076304,-51.193025
1885,,GEN JONATHAS BORGES FORTES ,,-30.077037,-51.196114
1894,,GEN JONATHAS BORGES FORTES 91,,-30.076847,-51.195693
1901,,GEN JONATHAS BORGES FORTES DF 338,,-30.076266,-51.193215
3079,,SAPE AL 50,,-30.017851,-51.163761
4722,,MARTIM FELIX BERTA 789,,-30.023784,-51.107724
3929,,SERTORIO 4400,,-29.999302,-51.16067
3930,,SERTORIO 4455,,-29.999205,-51.160447
3743,,ENG ALEXANDRE MARTINS DA ROSA DF 40,,-29.979896,-51.18495
3742,,ENG ALEXANDRE MARTINS DA ROSA 40,,-29.979845,-51.185014
6238,,ENG ALEXANDRE MARTINS DA ROSA DF 200,,-29.978966,-51.184373
3749,,ENG ALEXANDRE MARTINS DA ROSA AL PORTÃO 12,,-29.977663,-51.183899
1443,,JOSE DE ALENCAR 310,,-30.059633,-51.228524
3750,,ENG ALEXANDRE MARTINS DA ROSA DF PORTAO 12,,-29.977674,-51.183817
1435,,JOSE DE ALENCAR 295,,-30.059674,-51.228763
1445,,JOSE DE ALENCAR 515,,-30.059952,-51.226729
1473,,JOSE DE ALENCAR 1013,,-30.060656,-51.221553
2229,,DR TIMOTEO 208,,-30.016804,-51.200228
3543,,FELIX DA CUNHA 153,,-30.014121,-51.203275
5446,,FELIX DA CUNHA DF 488,,-30.017222,-51.202546
2223,,FELIX DA CUNHA 667,,-30.018786,-51.202265
