shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010120,40.7540980837,-73.9783329297,60003
M010120,40.7547292869,-73.9778743295,60004
M010120,40.7553549986,-73.9774157226,60005
M010120,40.7559779645,-73.9769607174,60006
M010120,40.756606418,-73.9765057018,60007
M010120,40.7572321235,-73.9760434596,60008
M010120,40.7574168166,-73.9759102006,60009
M010120,40.7574168166,-73.9759102006,70001
M010120,40.7578578293,-73.9755920373,70002
M010120,40.7584862764,-73.9751333864,70003
M010120,40.7591119777,-73.9746783374,70004
M010120,40.7597404219,-73.9742232789,70005
M010120,40.760363374,-73.9737646042,70006
M010120,40.7609890697,-73.9733095296,70007
M010120,40.7616120189,-73.9728544476,70008
M010120,40.7622871067,-73.9723596274,70009
M010120,40.7624794791,-73.9722194863,70010
M010120,40.7624794791,-73.9722194863,80001
M010120,40.7629621931,-73.9718684071,80002
M010120,40.7635851355,-73.9714096882,80003
M010120,40.764216312,-73.970958177,80004
M010120,40.7648392498,-73.970495831,80005
M010120,40.7654649322,-73.9700406951,80006
M010120,40.7660906127,-73.9695855506,80007
M010120,40.7667162915,-73.9691303976,80008
M010120,40.7673419673,-73.968671626,80009
M010120,40.7679676423,-73.9682164559,80010
M010120,40.7685960592,-73.9677576657,80011
M010120,40.7688498954,-73.9675734239,80012
M010120,40.7688498954,-73.9675734239,90001
M010120,40.7692189867,-73.9673060899,90002
M010120,40.7698473998,-73.9668472825,90003
M010120,40.770475811,-73.9663884665,90004
M010120,40.771098733,-73.9659368652,90005
M010120,40.7717820222,-73.9654346795,90006
M010120,40.7721870555,-73.9651380591,90007
M010120,40.7721870555,-73.9651380591,100001
M010120,40.7724625654,-73.9649360953,100002
M010120,40.7730992019,-73.9644736284,100003
M010120,40.7737330917,-73.9640111541,100004
M010120,40.7743669796,-73.963548671,100005
M010120,40.7750008667,-73.9630897897,100006
M010120,40.7756374943,-73.962623677,100007
M010120,40.776318025,-73.9621250352,100008
M010120,40.7770012982,-73.9616263816,100009
M010120,40.7770012982,-73.9616263816,110001
M010120,40.7770012982,-73.9616263816,110002
M010120,40.7776351774,-73.9611674638,110003
M010120,40.778271797,-73.9607013143,110004
M010120,40.7789029264,-73.9602387698,110005
M010120,40.7795395421,-73.9597726025,110006
M010120,40.7801734124,-73.9593100388,110007
M010120,40.7808566744,-73.9588149383,110008
M010120,40.7811930901,-73.9585691929,110009
M010120,40.7811930901,-73.9585691929,120001
M010120,40.7815344446,-73.9583198311,120002
M010120,40.7821600773,-73.9578644666,120003
M010120,40.7827884516,-73.957405481,120004
M010120,40.783416824,-73.9569464866,120005
M010120,40.7840451945,-73.9564874836,120006
M010120,40.784668075,-73.9560320866,120007
M010120,40.7852964404,-73.9555694553,120008
M010120,40.7859248066,-73.9551140375,120009
M010120,40.7865504248,-73.9546550018,120010
M010120,40.7869804,-73.9543419827,120011
M010120,40.7869804,-73.9543419827,130001
M010120,40.7872254333,-73.9541634229,130002
M010120,40.7879004396,-73.9536718341,130003
M010120,40.7885315399,-73.9532091561,130004
M010120,40.7891681263,-73.9527428542,130005
M010120,40.7903425167,-73.9518911891,130006
M010120,40.7903425167,-73.9518911891,140001
M010120,40.7904193458,-73.9518355189,140002
M010120,40.7910476938,-73.951372808,140003
M010120,40.7916732981,-73.9509173132,140004
M010120,40.7923016454,-73.9504618078,140005
M010120,40.7929299876,-73.9499990709,140006
M010120,40.7934729964,-73.949603564,140007
M010120,40.7934729964,-73.949603564,150001
M010120,40.7936049755,-73.9495073977,150002
M010120,40.7942799597,-73.949012103,150003
M010120,40.7949082992,-73.9485565618,150004
M010120,40.7955393782,-73.9480937867,150005
M010120,40.7958499785,-73.9478667336,150006
M010120,40.7958499785,-73.9478667336,160001
M010120,40.7961677123,-73.9476346165,160002
M010120,40.7967960444,-73.9471754377,160003
M010120,40.7974490705,-73.9467017836,160004
M010120,40.7992874067,-73.9453603248,160005
M010120,40.7995820868,-73.9451433725,160006
M010120,40.7995820868,-73.9451433725,170001
M010120,40.7999843216,-73.9448468683,170002
M010120,40.8006620315,-73.9443550885,170003
M010120,40.8012903502,-73.9438958477,170004
M010120,40.8019186669,-73.9434365983,170005
M010120,40.8022698649,-73.9431798488,170006
M010120,40.8025607125,-73.9429917764,170007
M010120,40.8028131534,-73.9428434675,170008
M010120,40.8031917882,-73.9425686276,170009
M010120,40.8038283301,-73.9421021213,170010
M010120,40.8044484089,-73.9416500688,170011
M010120,40.8049971453,-73.9412414166,170012
M010120,40.8050629799,-73.9411655035,170013
M010120,40.8051507648,-73.9410751224,170014
M010120,40.8057351693,-73.9406447562,170015
M010120,40.8060446576,-73.940419802,170016
M010120,40.8060446576,-73.940419802,180001
M010120,40.8064073731,-73.9401565083,180002
M010120,40.8070329316,-73.939700803,180003
M010120,40.8076530008,-73.9392487064,180004
M010120,40.8082785555,-73.938792984,180005
M010120,40.8089041085,-73.9383372531,180006
M010120,40.8095241701,-73.9378815187,180007
M010120,40.810174412,-73.9374076854,180008
M010120,40.8104649623,-73.9371957237,180009
M010120,40.8104649623,-73.9371957237,190001
M010120,40.8119989186,-73.9360765641,190002
M010120,40.8120702511,-73.9360223078,190003
M010120,40.8121554534,-73.9362317523,190004
M010120,40.8122884722,-73.9365480825,190005
M010120,40.8122884722,-73.9365480825,200001
M010120,40.8127463359,-73.9376364701,200002
M010120,40.8131683065,-73.9373290055,200003
M010120,40.8131683065,-73.9373290055,210001
M010120,40.813421269,-73.9371445252,210002
M010120,40.8140413254,-73.9366887487,210003
M010120,40.8145044446,-73.9363458289,210004
M010120,40.8145044446,-73.9363458289,220001
M010120,40.8146668655,-73.9362257332,220002
M010120,40.8147848422,-73.9361425289,220003
M010120,40.8148287436,-73.9361171981,220004
M010120,40.8153253361,-73.9357554519,220005
M010120,40.8155603244,-73.936323504,220006
M010120,40.8155603244,-73.936323504,230001
M010120,40.8164549029,-73.9384856054,230002
M010120,40.8166170696,-73.9389153745,230003
M010120,40.8169613957,-73.9386599959,230004
M010120,40.8169613957,-73.9386599959,240001
M010120,40.8172316433,-73.9384595978,240002
