stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
401579,"EAST 14 ST/UNIVERSITY PL",,  40.735081, -73.991623,,,0,
401587,"E 14 ST/AV C",,  40.728428, -73.975830,,,0,
401591,"E 10 ST/AV D",,  40.724869, -73.975319,,,0,
401594,"AV D/E 8 ST",,  40.723446, -73.976318,,,0,
401595,"AV D/E 6 ST",,  40.722271, -73.977173,,,0,
401596,"AV D/E 4 ST",,  40.721058, -73.978058,,,0,
401598,"E HOUSTON ST/BARUCH DR",,  40.719097, -73.976883,,,0,
401599,"E HOUSTON ST/MANGIN ST",,  40.718834, -73.975616,,,0,
401600,"E HOUSTON ST/555 FDR DR",,  40.716755, -73.975876,,,0,
401608,"8 AV/BLEECKER ST",,  40.736961, -74.005264,,,0,
401609,"8 AV/W 4 ST",,  40.738415, -74.003639,,,0,
401610,"AV A/E 11 ST",,  40.728214, -73.982071,,,0,
401611,"AV A/E 9 ST",,  40.727032, -73.982941,,,0,
401612,"AV A/E 6 ST",,  40.725243, -73.984238,,,0,
401613,"AV A/E 3 ST",,  40.723423, -73.985565,,,0,
401624,"COLUMBIA ST/RIVINGTON ST",,  40.717781, -73.979759,,,0,
401625,"AV D/E HOUSTON ST",,  40.720089, -73.978546,,,0,
401626,"AV D/E 5 ST",,  40.722118, -73.977074,,,0,
401627,"AV D/EAST 8 ST",,  40.723331, -73.976189,,,0,
401628,"AV D/E 9 ST",,  40.724144, -73.975594,,,0,
401630,"AV C/E 12 ST",,  40.727333, -73.976334,,,0,
401633,"E 14 ST/AV C",,  40.728611, -73.975906,,,0,
401656,"AV A/E 3 ST",,  40.723873, -73.985016,,,0,
401657,"AV A/E 5 ST",,  40.725101, -73.984116,,,0,
401659,"AV A/E 11 ST",,  40.728676, -73.981506,,,0,
401664,"WATER ST/BROAD ST",,  40.703037, -74.010834,,,0,
401665,"WATER ST/OLD SLIP",,  40.704273, -74.008492,,,0,
401666,"WATER ST/WALL ST",,  40.705288, -74.007111,,,0,
401667,"WATER ST/FLETCHER ST",,  40.706272, -74.005661,,,0,
401669,"PEARL ST/PECK SLIP",,  40.708969, -74.002174,,,0,
401670,"PEARL ST/R F WAGNER SR PL",,  40.710300, -74.000923,,,0,
401675,"PIKE ST/DIVISION ST",,  40.714302, -73.992470,,,0,
401679,"ALLEN ST/DELANCEY ST",,  40.719559, -73.989967,,,0,
401681,"ALLEN ST/STANTON ST",,  40.721893, -73.988815,,,0,
401682,"1 AV/E 2 ST",,  40.723534, -73.988113,,,0,
401685,"1 AV/ST MARKS PL",,  40.727802, -73.985008,,,0,
401686,"1 AV/E 11 ST",,  40.729618, -73.983681,,,0,
401687,"1 AV/E 14 ST",,  40.731506, -73.982376,,,0,
401688,"1 AV/E 17 ST",,  40.733154, -73.981186,,,0,
